time,gaze_target,left.pupil_diameter_mm,right.pupil_diameter_mm
8.046,CartoonTeacher,3.35231,3.171722
8.072000000000001,CartoonTeacher,2.9987790000000003,2.4009400000000003
8.123,CartoonTeacher,3.027908,1.690521
8.15,CartoonTeacher,3.252319,3.184494
8.183,CartoonTeacher,3.259964,3.228394
8.217,CartoonTeacher,3.335083,3.186966
8.251,CartoonTeacher,3.455063,3.117035
8.283,CartoonTeacher,3.397415,3.220093
8.317,CartoonTeacher,3.456436,3.134964
8.349,CartoonTeacher,3.420135,3.133057
8.382,CartoonTeacher,3.424149,3.147202
8.416,CartoonTeacher,3.42308,3.155746
8.448,CartoonTeacher,3.477661,3.155609
8.482999999999999,CartoonTeacher,3.498825,3.151169
8.516,CartoonTeacher,3.525238,3.153763
8.549,CartoonTeacher,3.528107,3.167343
8.583,CartoonTeacher,3.529083,3.194641
8.616,CartoonTeacher,3.52916,3.207443
8.65,CartoonTeacher,3.5013730000000005,3.201141
8.684,CartoonTeacher,3.506454,3.195068
8.716000000000001,CartoonTeacher,3.5025480000000004,3.186646
8.749,CartoonTeacher,3.4949800000000004,3.181152
8.782,CartoonTeacher,3.47168,3.17865
8.815,CartoonTeacher,3.442139,3.186356
8.849,CartoonTeacher,3.416519,3.167389
8.871,CartoonTeacher,3.29538,3.347778
8.892999999999999,CartoonTeacher,3.466629,3.382553
8.915,CartoonTeacher,3.428665,3.273041
8.937999999999999,CartoonTeacher,3.355743,3.273849
8.961,CartoonTeacher,3.399734,3.323853
8.984,CartoonTeacher,3.408386,3.282608
9.005,CartoonTeacher,3.411957,3.283005
9.027,CartoonTeacher,3.420029,3.281082
9.049,CartoonTeacher,3.416656,3.280075
9.072,CartoonTeacher,3.423401,3.279282
9.094,CartoonTeacher,3.531006,3.280472
9.116,CartoonTeacher,3.4927980000000005,3.254303
9.139,CartoonTeacher,3.4425510000000004,3.293701
9.228,CartoonTeacher,2.557648,2.139267
9.25,CartoonTeacher,3.379654,3.262466
9.273,CartoonTeacher,3.342499,3.323715
9.294,CartoonTeacher,3.511154,3.354538
9.315,CartoonTeacher,3.488388,3.276703
9.339,CartoonTeacher,3.487289,3.252441
9.36,CartoonTeacher,3.478363,3.269867
9.384,CartoonTeacher,3.4553830000000003,3.23288
9.405,CartoonTeacher,3.362686,3.338776
9.428,CartoonTeacher,3.313232,3.340439
9.45,CartoonTeacher,3.3131410000000003,3.283417
9.472,CartoonTeacher,3.3288269999999995,3.331268
9.493,CartoonTeacher,3.330658,3.385788
9.516,CartoonTeacher,3.328949,3.355057
9.538,CartoonTeacher,3.3439940000000004,3.354828
9.56,CartoonTeacher,3.357025,3.370438
9.582,CartoonTeacher,3.363907,3.36142
9.605,CartoonTeacher,3.394775,3.36113
9.629,CartoonTeacher,3.461304,3.3740080000000003
9.651,CartoonTeacher,3.4778290000000003,3.3745730000000003
9.676,CartoonTeacher,3.5097050000000003,3.282883
9.698,CartoonTeacher,3.459518,3.284027
9.722,CartoonTeacher,3.4967650000000003,3.268784
9.744,CartoonTeacher,3.521179,3.2896120000000004
9.766,CartoonTeacher,3.511063,3.2822720000000003
9.793,CartoonTeacher,3.5057370000000003,3.274872
9.826,CartoonTeacher,3.519928,3.264908
9.86,CartoonTeacher,3.490524,3.267807
9.893,CartoonTeacher,3.486664,3.263885
9.925,CartoonTeacher,3.487152,3.261475
9.959,CartoonTeacher,3.4636690000000003,3.270401
9.992,CartoonTeacher,3.3365480000000005,3.307114
10.126,CartoonTeacher,2.618576,2.806503
10.159,CartoonTeacher,3.359711,3.019775
10.193,CartoonTeacher,3.336914,3.238342
10.226,CartoonTeacher,3.337799,3.187607
10.26,CartoonTeacher,3.4199370000000004,3.20961
10.292,CartoonTeacher,3.4502870000000003,3.271011
10.325,CartoonTeacher,3.440018,3.197723
10.358,CartoonTeacher,3.511978,3.193939
10.390999999999998,CartoonTeacher,3.476974,3.184113
10.425,CartoonTeacher,3.4702,3.185928
10.459,CartoonTeacher,3.471054,3.167053
10.491,CartoonTeacher,3.508728,3.180176
10.526,CartoonTeacher,3.473358,3.132172
10.548,CartoonTeacher,3.48349,3.198364
10.57,CartoonTeacher,3.483231,3.198761
10.592,CartoonTeacher,3.483185,3.201111
10.616,CartoonTeacher,3.48317,3.1577610000000003
10.637,CartoonTeacher,3.482651,3.157547
10.661,CartoonTeacher,3.481201,3.157639
10.681,CartoonTeacher,3.465042,3.151367
10.704,CartoonTeacher,3.453644,3.147385
10.725,CartoonTeacher,3.4281620000000004,3.119797
10.749,CartoonTeacher,3.415024,3.108063
10.771,CartoonTeacher,3.40683,3.12088
10.793,CartoonTeacher,3.3597870000000003,3.10788
10.816,CartoonTeacher,3.34816,3.089386
10.838,CartoonTeacher,3.3450620000000004,3.087585
10.862,CartoonTeacher,3.289474,3.070984
