"","participant","time_point","trans_dur","Source","Target"
"398","001",73.62,0.0219999999999914,"CartoonTeacher","Screen_95"
"399","001",73.642,0.0220000000000056,"Screen_95","CartoonTeacher"
"400","001",74.22,0.0220000000000056,"CartoonTeacher","Screen_95"
"401","001",74.486,0.0229999999999961,"Screen_95","CartoonTeacher"
"402","001",74.554,0.0210000000000008,"CartoonTeacher","Screen_95"
"403","001",74.643,0.019999999999996,"Screen_95","CartoonTeacher"
"404","001",75.163,0.0330000000000013,"CartoonTeacher","Screen_95"
"405","001",75.196,0.034000000000006,"Screen_95","CartoonTeacher"
"406","001",75.263,0.0339999999999918,"CartoonTeacher","Screen_95"
"407","001",75.297,0.0330000000000013,"Screen_95","FrontWall"
"408","001",75.33,0.0330000000000013,"FrontWall","SM_Blackboard_Schiene_low_99"
"409","001",75.497,0.0330000000000013,"SM_Blackboard_Schiene_low_99","FrontWall"
"410","001",75.564,0.034000000000006,"FrontWall","leftwall_5"
"411","001",75.598,0.034000000000006,"leftwall_5","S14_C"
"412","001",75.984,0.0220000000000056,"S14_C","S13_C"
"413","001",76.436,0.0229999999999961,"S13_C","S14_C"
"414","001",76.459,0.0259999999999962,"S14_C","fronttestobject"
"415","001",76.896,0.0319999999999965,"fronttestobject","S14_C"
"416","001",77.061,0.0339999999999918,"S14_C","fronttestobject"
"417","001",77.196,0.0319999999999965,"fronttestobject","fronttable"
"418","001",77.228,0.0350000000000108,"fronttable","fronttestobject"
"419","001",77.296,0.0319999999999965,"fronttestobject","S14_C"
"420","001",77.396,0.0649999999999977,"S14_C","table12"
"421","001",77.461,0.034000000000006,"table12","FloorFront"
"422","001",77.528,0.0339999999999918,"FloorFront","CartoonTeacher"
"423","001",77.596,0.0210000000000008,"CartoonTeacher","Screen_95"
"424","001",77.617,0.0229999999999961,"Screen_95","CartoonTeacher"
"425","001",77.64,0.0210000000000008,"CartoonTeacher","Screen_95"
"426","001",77.907,0.0230000000000103,"Screen_95","S16_C"
"427","001",77.93,0.0219999999999914,"S16_C","FrontWall"
"428","001",77.952,0.0229999999999961,"FrontWall","rightwall1"
